CAS-RN,SMILES,train/test,LC50[-LOG(mol/L)],TPSA(Tot),SAacc,H-050,MLOGP,RDCHI,GATS1p,nN,C-040
75-25-2,BrC(Br)Br,train,3.740,0,0,0,2.419,1.225,0.667,0,0
598-16-3,BrC=C(Br)Br,train,4.330,0,0,0,2.638,1.401,0.632,0,0
60348-60-9,Brc1ccc(c(c1)Br)Oc1cc(Br)c(cc1Br)Br,train,7.019,9.23,11,0,5.799,2.93,0.486,0,0
5436-43-1,Brc1ccc(c(c1)Br)Oc1ccc(cc1Br)Br,train,6.723,9.23,11,0,5.453,2.887,0.495,0,0
101-55-3,Brc1ccc(cc1)Oc1ccccc1,train,5.979,9.23,11,0,4.068,2.758,0.695,0,0
11141-17-6,C/C=C(\C(=O)OC1CC(OC(=O)C)C2(C3C41COC(C4C(C)(C(C3OC2)O)C12OC2(C)C2CC1OC1C2(O)C=CO1)(O)C(=O)OC)C(=O)OC)/C,train,6.064,215.34,327.629,3,0.189,4.677,1.333,0,4
4180-23-8,C/C=C/c1ccc(cc1)OC,train,7.337,9.23,11,0,2.723,2.321,1.165,0,0
77-73-6,C1=CC2C(C1)C1C=CC2C1,train,4.100,0,0,0,3.267,2.318,0.963,0,0
110-83-8,C1CCC=CC1,train,3.941,0,0,0,2.067,1.8,1.25,0,0
287-92-3,C1CCCC1,train,3.809,0,0,0,2.746,1.667,1.4,0,0
110-82-7,C1CCCCC1,train,4.340,0,0,0,3.124,1.8,1.417,0,0
110-89-4,C1CCCNC1,train,3.930,12.03,18.011,1,0.817,1.8,1.488,1,0
121-29-9,C=C/C=C/CC1=C(C)C(CC1=O)OC(=O)C1C(C1(C)C)/C=C(/C(=O)OC)\C,train,7.371,69.67,97.435,0,3.122,3.723,1.26,0,2
107-13-1,C=CC#N,train,3.780,23.79,31.059,0,0.094,1.334,1.115,1,1
224452-66-8,C=CC1(C)CC(OC(=O)CSC2CC3CCC(C2)N3C)C2(C)C(C)CCC3(C(C1O)C)C2C(=O)CC3,train,4.112,92.14,107.097,1,4.275,4.174,1.174,1,1
100-42-5,C=Cc1ccccc1,train,3.533,0,0,0,2.851,1.989,0.938,0,0
74-83-9,CBr,train,4.632,0,0,0,1.115,1,0.588,0,0
26002-80-2,CC(=CC1C(C1(C)C)C(=O)OCc1cccc(c1)Oc1ccccc1)C,train,7.693,35.53,47.145,0,4.579,3.875,1.124,0,1
67-64-1,CC(=O)C,train,0.673,17.07,25.145,0,0.202,1.225,1.66,0,0
123-54-6,CC(=O)CC(=O)C,train,3.323,34.14,50.29,0,0.076,1.654,1.493,0,0
81-81-2,CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c3ccccc3,train,2.955,67.51,103.973,1,3.204,3.344,0.938,0,1
103-90-2,CC(=O)Nc1ccc(cc1)O,train,4.216,49.33,85.839,2,1.06,2.272,1.007,1,1
104227-87-4,CC(=O)OCC(CCn1cnc2c1nc(N)nc2)COC(=O)C,train,2.593,122.22,155.543,2,1.406,3.511,1.456,5,2
5417-35-6,CC(C1OCC=CCO1)C,train,2.272,18.46,22,0,1.262,2.147,1.576,0,0
35723-83-2,CC(CCCCCCCCCCN(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C)C,train,5.960,3.24,3.124,0,9.148,5.497,1.559,1,0
57157-80-9,CC(CCCCCCCCCCNCCCCCCCCCCC(C)C)C,train,6.537,12.03,18.011,1,6.728,4.392,1.554,1,0
29761-21-5,CC(CCCCCCCOP(=O)(Oc1ccccc1)Oc1ccccc1)C,train,7.100,54.57,41.028,0,5.65,4.026,1.575,0,0
13408-56-5,CC(CCC(C(C1CCC2(C1(C)CCC1C2=CC(=O)C2C1(C)CC(O)C(C2)O)O)(O)C)O)C,train,6.424,118.22,238.562,5,2.201,3.83,1.214,0,0
15687-27-1,CC(Cc1ccc(cc1)C(C(=O)O)C)C,train,4.355,37.3,67.828,1,3.23,2.63,1.166,0,1
67306-00-7,CC(Cc1ccc(cc1)C(C)(C)C)CN1CCCCC1,train,5.721,3.24,3.124,0,4.48,3.258,1.31,1,0
67564-91-4,CC(Cc1ccc(cc1)C(C)(C)C)CN1CC(C)OC(C1)C,train,5.102,12.47,14.124,0,3.827,3.362,1.373,1,0
71-55-6,CC(Cl)(Cl)Cl,train,3.718,0,0,0,2.226,1.265,0.57,0,0
1717-00-6,CC(Cl)(Cl)F,train,3.577,0,14.96,0,2.026,1.265,0.722,0,0
2303-17-5,CC(N(C(=O)SCC(=C(Cl)Cl)Cl)C(C)C)C,train,6.458,45.61,28.269,0,3.012,2.557,0.901,1,0
108-18-9,CC(NC(C)C)C,train,2.352,12.03,18.011,1,1.587,1.654,1.732,1,0
3930-20-9,CC(NCC(c1ccc(cc1)NS(=O)(=O)C)O)C,train,2.958,86.81,121.412,3,0.709,2.938,1.416,2,0
5964-62-5,CC(c1cc(/N=N/c2ccc(cc2)S(=O)(=O)c2ccc(cc2)/N=N/c2cc(C(C)C)c(cc2C)O)c(cc1O)C)C,train,5.440,132.42,196.332,2,4.478,4.984,1.087,4,0
79-94-7,CC(c1cc(Br)c(c(c1)Br)O)(c1cc(Br)c(c(c1)Br)O)C,train,4.838,40.46,85.367,2,5.255,3.001,0.485,0,0
3547-04-4,CC(c1ccc(cc1)Cl)c1ccc(cc1)Cl,train,6.858,0,0,0,5.453,2.837,0.735,0,0
140-66-9,CC(c1ccc(cc1)O)(CC(C)(C)C)C,train,6.360,20.23,42.683,1,3.921,2.494,1.229,0,0
80-05-7,CC(c1ccc(cc1)O)(c1ccc(cc1)O)C,train,4.301,40.46,85.367,2,3.306,2.832,0.917,0,0
98-82-8,CC(c1ccccc1)C,train,3.772,0,0,0,3.259,2.048,1.111,0,0
578-54-1,CCc1ccccc1N,train,4.179,26.02,32.897,2,2.193,2.031,0.992,1,0
78-59-1,CC1=CC(=O)CC(C1)(C)C,train,3.061,17.07,25.145,0,1.947,2.005,1.276,0,0
99-86-5,CC1=CC=C(CC1)C(C)C,train,4.867,0,0,0,3.267,2.119,1.25,0,0
5989-27-5,CC1=CCC(CC1)C(=C)C,train,5.373,0,0,0,3.267,2.119,1.25,0,0
80-56-8,CC1=CCC2CC1C2(C)C,train,3.522,0,0,0,3.374,2.118,1.204,0,0
75-07-0,CC=O,train,0.550,17.07,25.145,0,-0.317,1.155,1.74,0,0
709-98-8,CCC(=O)Nc1ccc(c(c1)Cl)Cl,train,4.714,29.1,43.156,1,3.076,2.438,0.773,1,1
79-09-4,CCC(=O)O,train,3.170,37.3,67.828,1,0.133,1.401,1.582,0,1
149-31-5,CCC(C(CO)C)O,train,1.220,40.46,85.367,2,0.706,1.768,1.594,0,0
78-99-9,CCC(Cl)Cl,train,3.631,0,0,0,2.226,1.401,0.826,0,0
40487-42-1,CCC(Nc1c(cc(c(c1[N+](=O)[O-])C)C)[N+](=O)[O-])CC,train,3.725,103.67,119.505,1,3.546,2.847,1.211,3,0
88-85-7,CCC(c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-])C,train,6.000,111.87,144.177,1,2.702,2.626,1.047,2,0
